time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
32,2005-05-14 00:32,556,378,178,290,0,88,10,174,3.1954024,16,9,5.367725,8,5.2830687,86,203,23.22093,1,5,313,5,1.7763578,56,112,73,40,50,39,49,17,307,55,243,7,62,88,37,64,64,18,37,131,112,6,0.4766187,221,52,69,10,6,3,1,,
33,2005-05-14 00:33,540,448,92,334,0,114,10,201,2.686567,22,10,3.828125,8,3.5066965,127,200,12.370079,1,20,353,6,1.5297451,175,77,48,17,49,28,47,15,259,174,181,63,14,36,26,14,78,153,21,74,107,5,0.5148148,308,39,36,38,7,5,,,
34,2005-05-14 00:34,403,280,123,165,0,115,9,179,2.2513967,21,12,4.4,7,3.9785714,90,148,12.377778,1,9,300,7,1.3433334,51,87,74,45,27,34,15,15,214,51,153,13,6,37,12,36,61,35,16,66,87,13,0.81637716,165,38,24,5,5,12,4,2,
35,2005-05-14 00:35,600,514,86,464,0,51,10,207,2.8985507,20,12,4.4941635,7,3.86965,116,224,17.181034,1,20,408,8,1.4705882,104,72,8,31,89,26,50,98,324,99,239,0,2,77,60,2,85,69,30,78,161,9,0.7679466,236,62,63,22,13,21,,1,3
36,2005-05-14 00:36,555,382,173,315,0,67,10,215,2.5813954,15,13,4.963351,8,4.5052357,105,153,16.390476,0,0,431,8,1.287703,59,169,99,42,67,32,44,22,301,51,235,17,4,33,68,4,66,28,23,35,200,9,0.74954957,137,117,51,26,11,2,,1,5
37,2005-05-14 00:37,442,367,75,284,0,83,10,198,2.2323232,16,11,3.4332426,8,3.2615805,126,170,9.5,1,1,308,9,1.4350649,156,51,15,30,27,26,25,22,192,154,106,2,21,24,35,21,86,110,44,19,87,9,0.43891403,247,42,37,13,3,2,,,1
38,2005-05-14 00:38,514,358,156,273,0,85,10,237,2.1687763,16,8,3.7150838,8,3.603352,114,202,11.315789,0,0,380,6,1.3526316,41,137,101,32,38,30,34,66,252,40,158,3,18,47,31,18,94,18,22,78,80,8,0.43579766,192,40,32,17,1,3,2,2,3
39,2005-05-14 00:39,214,179,35,129,0,50,10,73,2.9315069,11,11,4.374302,8,4.2011175,86,113,8.744186,0,0,170,3,1.2588235,23,31,1,13,30,11,33,24,132,22,103,0,2,25,30,4,29,12,10,52,51,9,0.64953274,95,14,32,6,2,1,1,1,1
39,2005-05-14 00:40,178,176,2,147,0,29,7,155,1.1483871,5,8,2.9318182,6,2.8522727,73,109,6.8767123,0,0,308,3,1.0811689,69,2,2,8,12,8,8,0,107,69,29,3,0,69,0,0,78,63,6,1,28,7,0.3483146,143,15,12,4,1,,,1,
40,2005-05-14 00:40,245,197,48,125,0,73,10,72,3.4027777,11,8,3.923858,8,3.8426397,85,107,8.952941,0,0,176,6,1.3920455,39,27,17,31,18,27,15,16,144,34,102,3,19,52,10,19,42,15,19,35,67,5,0.5942623,102,33,24,14,3,2,,,
41,2005-05-14 00:41,568,380,188,291,0,105,10,208,2.7307692,16,8,3.831579,8,3.6815789,99,231,14.454545,0,0,389,6,1.4601543,72,183,63,45,75,44,73,40,268,70,208,15,5,43,112,5,60,32,38,85,123,6,0.5105634,177,77,59,11,10,2,2,,
42,2005-05-14 00:42,497,360,137,280,0,80,10,205,2.4243903,10,9,3.8722222,9,3.536111,122,138,10.434426,0,0,323,5,1.5386997,151,131,104,20,15,17,15,57,155,151,97,17,3,45,18,3,58,141,10,31,66,5,0.26559356,232,38,19,13,3,1,,,
43,2005-05-14 00:43,307,217,90,177,0,40,10,99,3.10101,18,10,4.56682,7,4.299539,91,88,10.252748,0,0,199,11,1.5427135,50,68,19,26,60,24,26,15,158,47,128,4,16,28,48,16,30,6,41,19,109,5,0.74592835,74,57,56,13,4,1,,,
44,2005-05-14 00:44,402,348,54,241,0,107,10,187,2.1497326,14,8,3.5804598,8,3.3850574,114,145,10.333333,1,1,302,6,1.3311259,156,52,21,30,28,24,22,30,163,156,120,3,1,55,31,1,43,140,16,40,80,4,0.5497512,227,26,22,25,19,,,,
45,2005-05-14 00:45,497,298,199,195,0,119,10,185,2.6864865,18,10,3.97651,8,3.852349,107,220,11.327103,0,0,336,6,1.4791666,51,174,130,39,29,37,21,49,206,47,130,5,17,23,36,17,76,29,18,72,58,7,0.31790745,182,19,31,14,4,1,,2,
46,2005-05-14 00:46,484,437,47,309,0,131,10,196,2.4693878,14,11,3.6864989,7,3.4851258,126,170,12.18254,0,0,363,11,1.3333334,171,37,8,32,33,26,26,51,222,164,140,33,3,35,24,3,82,134,30,68,72,8,0.38429752,300,29,34,13,5,3,,1,1
47,2005-05-14 00:47,468,226,242,166,0,60,10,183,2.557377,12,13,4.473451,8,4.137168,86,123,10.872093,0,0,348,7,1.3448275,50,199,107,27,38,23,42,35,147,49,109,2,28,18,80,37,38,7,42,40,69,7,0.41666666,103,26,44,15,6,1,,1,
48,2005-05-14 00:48,444,407,37,279,0,128,10,216,2.0555556,14,14,4.031941,8,3.6461916,140,164,10.6,0,0,351,7,1.2649573,133,33,16,69,18,34,15,17,258,132,154,2,3,90,17,3,104,114,18,57,97,8,0.4774775,282,41,45,14,6,,,1,1
