time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
31,2021-10-04 07:11,136712,127335,9377,117045,6,10972,43,2821,48.462246,3577,22,4.1150274,15,3.8763185,856,31353,579.6425,2,68,32351,260,4.2258973,4936,7759,819,16184,20698,14683,14634,3519,118916,4889,112725,1170,1192,4619,6889,1582,6191,544,4345,63905,48820,15,0.71974665,73113,27267,12517,5936,2702,875,145,498,59
32,2021-10-04 07:12,90569,86642,3927,76523,11,10644,44,3352,27.019392,3677,20,4.0217676,9,3.812689,1013,24014,328.1145,2,45,16535,280,5.4774117,2805,2887,407,8500,8339,7773,7171,3163,80713,2764,74098,633,640,2623,2418,1001,6615,546,2218,50031,24067,17,0.5563051,58231,14375,6507,1875,902,278,152,413,69
33,2021-10-04 07:13,86471,81794,4677,70988,7,11201,43,2685,32.205215,3256,20,4.0324106,9,3.7983594,874,23542,357.54807,2,15,12057,394,7.17185,3184,3440,351,7579,9089,7262,8262,2175,76668,2976,71531,903,683,2332,2897,1004,5137,760,2216,49903,21628,14,0.57701427,56406,12570,6251,1758,724,307,139,565,118
34,2021-10-04 07:14,80798,76888,3910,69460,11,8194,44,2161,37.38917,2746,17,4.0668507,9,3.7999039,768,19766,384.98828,2,6,12859,246,6.2833815,2463,2579,403,7881,6857,7315,6457,2384,72215,2403,65661,463,840,2434,2049,1157,6554,497,1906,46676,18985,14,0.49233893,54567,10416,6155,1636,610,249,156,418,44
35,2021-10-04 07:15,90214,86696,3518,77249,0,9713,44,2087,43.226643,3149,23,4.163491,10,3.818573,776,28111,428.16882,2,37,14410,294,6.2605133,4843,2588,236,7350,8856,7091,8245,2088,79869,4692,74251,1045,553,4448,2221,826,5618,752,3940,53705,20546,17,0.56068903,62462,11197,5723,1705,972,494,573,725,107
36,2021-10-04 07:16,194014,186832,7182,168994,2,18037,45,6601,29.391607,2815,20,4.203707,11,4.0884376,795,110578,961.89185,2,47,47325,254,4.099609,5221,4565,226,21911,26717,21445,26179,33903,149518,2731,144396,621,534,2544,2096,807,5122,296,2435,90659,53737,16,0.42139742,96967,43576,5997,3127,882,397,341,395,54
37,2021-10-04 07:17,119430,110951,8479,99670,15,11522,43,5677,21.03752,5015,18,4.299565,10,4.106218,995,38544,459.01608,1,22,24663,345,4.8424764,3734,5568,515,16702,9127,16164,8445,7951,100044,3673,94958,664,1836,3464,4274,2133,5086,491,3182,64622,30336,16,0.5011806,71519,20400,6543,2189,964,775,227,426,45
38,2021-10-04 07:18,108436,102150,6286,89569,1,12894,45,2699,40.17636,5233,17,4.031845,10,3.7860892,977,32485,397.29376,2,74,14176,413,7.6492662,5141,4953,310,9790,10333,9095,9562,2152,94925,5073,89120,1428,933,4632,4599,1265,5805,899,4174,64590,24530,16,0.5028957,73631,14180,7123,2204,793,623,230,421,93
39,2021-10-04 07:19,90560,86685,3875,73243,4,13630,45,3355,26.992548,5043,25,3.9591856,13,3.7628887,1134,23288,288.3633,3,71,10822,391,8.368139,2881,2894,403,8240,8170,7991,7633,2048,81857,2807,76798,555,566,2651,2453,880,5059,576,2231,55701,21097,16,0.48238736,62403,12187,6032,1909,774,294,171,360,133
40,2021-10-04 07:20,84098,80252,3846,68295,2,12370,45,1255,67.01036,5093,22,3.995452,10,3.7905223,725,21824,422.11172,1,8,7676,385,10.955967,2983,2766,363,7839,8224,7357,7702,750,76560,2951,71173,673,686,2699,2341,1039,5387,439,2512,50552,20621,14,0.5509406,57351,11697,6088,2041,722,295,231,384,86
