time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
36,2020-04-01 16:51,113010,111270,1740,110274,6,1387,41,84000,1.3453572,609,42,4.4976096,11,4.168006,19308,87808,24.12052,1,10,91753,292,1.2316763,1296,1185,162,3987,4274,3783,3843,1471,108570,1204,24820,242,263,1128,961,488,83750,156,1048,12568,12252,24,0.23221838,96687,6014,4716,1066,420,263,210,169,121
37,2020-04-01 16:52,36788,35513,1275,33800,25,1867,40,10931,3.3654742,700,21,4.536395,12,4.0859966,2872,10154,50.80954,3,302,18146,292,2.0273337,919,965,112,3343,4564,3131,3525,6149,28503,886,23042,137,122,749,811,252,5461,122,764,11133,11909,20,0.6587746,16902,5962,4343,972,438,258,258,84,71
38,2020-04-01 16:53,22654,21385,1269,20440,2,1265,40,2181,10.386978,644,22,5.2099605,12,4.3959785,1080,3993,88.35741,1,10,8357,290,2.7107813,661,972,89,2699,4025,2398,2394,891,19905,622,17334,125,128,620,797,225,2571,62,560,7550,9784,20,1.0972456,10350,5220,3011,663,204,209,94,46,89
39,2020-04-01 16:54,26033,23233,2800,19271,36,4176,40,4640,5.6105604,672,32,4.5317435,11,4.185555,1465,4734,67.21365,2,63,13288,269,1.959136,647,891,135,2270,2174,2016,1877,7235,16969,606,14437,95,173,593,679,291,2532,93,513,6673,7764,23,0.68881804,9454,4016,2593,613,279,169,42,13,78
40,2020-04-01 16:55,29108,27711,1397,27160,21,911,40,1388,20.971182,611,32,4.916748,11,4.427448,706,9927,176.16997,1,3,7735,281,3.7631545,1218,1113,138,4063,4402,3719,4149,635,25884,1162,23196,141,149,1079,904,258,2688,115,1047,11409,11787,23,1.0260409,14446,4930,4282,1087,719,675,419,195,108
41,2020-04-01 16:56,30811,29463,1348,26729,25,3026,41,1365,22.57216,594,32,5.447239,10,4.631368,751,9146,184.03195,2,8,9400,306,3.277766,1292,1036,125,3499,3389,2948,2986,1736,26477,1211,24152,170,137,1008,877,270,2325,227,984,12605,11547,24,0.88432705,15333,5438,3170,1649,1103,539,239,73,50
42,2020-04-01 16:57,55248,53179,2069,39923,42,13578,39,2302,24.0,602,19,6.2131667,11,4.8482485,806,17292,322.067,1,5,15391,281,3.5896304,1068,1323,172,6903,6927,5570,5269,2784,49691,974,43797,185,181,914,1031,382,5894,126,848,20600,23197,23,1.1404395,26918,10194,5153,3299,1707,716,465,517,558
43,2020-04-01 16:58,33124,31648,1476,30035,2,1897,40,2252,14.708703,608,32,5.081585,11,4.4913106,734,8406,195.41826,1,18,12407,313,2.669783,887,1090,135,5828,3484,3507,3235,2245,28681,796,25258,145,120,733,895,221,3423,95,701,11635,13623,24,0.7865898,15382,7915,4176,827,352,230,140,93,193
44,2020-04-01 16:59,31685,30567,1118,29153,1,1675,40,2028,15.623767,690,32,5.1351786,10,4.43897,986,7509,138.9219,1,17,11466,321,2.7633874,1135,771,107,4403,4125,3416,3871,2595,26922,1070,23986,108,135,1060,595,262,2936,140,930,11060,12926,24,0.9667035,14320,6220,4638,992,427,272,288,245,184
45,2020-04-01 17:00,43674,41873,1801,37971,2,4436,38,2644,16.518154,594,31,5.17116,11,4.28885,715,10224,254.7063,1,10,20826,296,2.0970902,1821,1372,233,5336,4919,4143,4375,10092,30050,1564,26488,278,141,1490,1064,339,3562,251,1313,11596,14892,23,0.9581902,15599,6615,5304,1403,499,382,246,222,43
46,2020-04-01 17:01,70567,68704,1863,64213,1,4941,38,24359,2.896958,555,32,4.5354857,11,4.15299,7864,31865,36.565487,1,13,43370,298,1.6270925,1081,1399,138,4328,4175,3732,3805,35507,32224,1016,28573,172,193,893,1185,356,3651,137,879,17416,11157,24,0.35835448,21386,4768,4724,1059,462,272,201,83,82
47,2020-04-01 17:02,24597,22427,2170,21864,0,1097,39,3212,7.6578455,662,32,5.300843,11,4.5096087,856,4638,121.2021,1,17,9578,304,2.5680726,1350,1533,254,2384,2658,2215,2464,3483,17833,1183,15572,151,217,1006,1204,398,2261,140,1043,7686,7886,24,0.75488883,10294,4547,2505,678,254,213,134,55,66
48,2020-04-01 17:03,57422,53384,4038,52698,7,1689,39,4046,14.192288,655,32,4.566031,10,4.2796717,1086,30170,214.60957,0,0,14981,296,3.8329885,1959,2819,378,6009,5678,5511,5487,4846,46989,1734,39940,383,513,1497,2050,809,7049,204,1530,24008,15932,24,0.5907666,31572,7283,6479,2208,429,189,154,83,122
49,2020-04-01 17:04,31815,30289,1526,28405,6,2156,39,2366,13.446746,673,32,4.9407377,10,4.3161545,852,7425,155.00938,2,24,12259,318,2.595236,2046,998,153,3541,3398,3279,3239,2156,26280,1975,22361,346,174,2145,768,335,3919,241,1734,12186,10175,24,0.66713816,17168,6061,3013,969,436,172,149,47,50
