time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
26,2020-07-21 07:26,243920,242852,1068,214094,8,29126,29,30123,8.097467,613,45,5.3775716,10,4.8125815,5776,111805,202.63747,2,800,47889,118,5.0934453,875,756,151,61352,55006,60038,52659,695,241302,834,191491,165,210,755,570,292,49811,120,714,69031,122460,20,1.1325024,119092,43459,41089,25676,4615,3065,2011,654,1061
27,2020-07-21 07:27,160309,156571,3738,141126,4,16895,32,14794,10.836082,868,24,5.0095997,10,4.4116216,3012,66377,231.80444,3,119,36523,143,4.3892617,1851,2407,293,31040,32306,30068,31210,1689,153422,1711,123887,431,800,1600,2038,940,29535,466,1245,53474,70413,21,0.8646177,83879,32642,28788,4163,1365,1820,724,325,420
28,2020-07-21 07:28,205863,202398,3465,180324,8,22434,31,13355,15.414676,650,25,5.214676,11,4.4919467,3728,96603,244.36159,3,111,37133,130,5.5439367,2841,2864,897,45390,45447,44016,43549,1591,197990,2810,149865,622,470,1496,1912,577,48125,1319,1491,49569,100296,20,1.0301657,99204,44384,39432,4814,5816,2465,1509,590,1085
29,2020-07-21 07:29,148123,146289,1834,129148,4,17509,31,12087,12.254737,648,27,5.4727287,14,4.7166634,2420,93491,285.8,3,709,31567,134,4.692337,1358,1208,244,38649,37920,36777,36684,4506,140616,1251,104448,391,304,1056,918,435,36168,334,917,19944,84504,22,1.1287241,56652,38370,35894,3381,1634,2270,1469,374,642
30,2020-07-21 07:30,182109,179924,2185,158894,12,21516,30,12543,14.518775,813,29,4.977179,12,4.368528,3620,78439,217.79309,2,23,31364,130,5.8063064,1854,1695,188,34011,40709,31923,40069,950,177177,1810,141623,498,366,1470,1406,433,35554,490,1320,58528,83095,20,0.92819685,94820,36485,35180,4416,1918,2473,1589,461,555
31,2020-07-21 07:31,270459,268174,2285,237893,38,30661,30,37086,7.292752,658,32,5.1659484,13,4.6193366,7116,106344,174.3582,2,680,58257,132,4.642515,2150,1708,371,61844,64375,60429,61779,2017,264143,2026,216319,477,368,1671,1255,441,47824,592,1434,82187,134132,24,1.0914149,130977,50683,44269,26650,5096,3713,1886,706,864
32,2020-07-21 07:32,224752,220447,4305,202523,19,19273,31,20254,11.096672,634,28,4.905769,13,4.206984,4358,100002,214.16637,2,166,43301,87,5.1904573,4104,2938,700,36038,50970,34223,49820,1442,215175,3931,173839,1208,901,1854,2116,1093,41336,2345,1586,77831,96008,20,0.9187816,121701,41071,35624,6232,7635,3156,1261,467,894
33,2020-07-21 07:33,173375,169440,3935,156063,18,13671,29,21438,8.087275,669,24,5.008705,13,4.4026914,4138,63779,180.66891,2,134,47063,94,3.6838918,2060,2826,903,46309,26453,46249,24639,1926,165794,1799,137630,585,498,1351,1543,769,28164,588,1211,54549,83081,20,0.9467455,83562,41537,26797,5911,5269,1941,897,397,494
34,2020-07-21 07:34,169132,163962,5170,153170,9,12013,30,17005,9.946016,693,28,5.0075445,15,4.3771424,4069,74491,178.11945,2,73,43436,108,3.8938208,4275,4259,800,38477,34619,37426,33929,3060,157093,4092,144033,374,351,3493,3266,445,13060,1036,3056,59825,84208,20,1.0790153,74590,39217,27715,6495,7186,2706,791,294,1461
35,2020-07-21 07:35,172209,167750,4459,151852,0,17571,31,13065,13.180942,525,24,5.2996182,13,4.488119,2965,72593,256.7939,1,26,38023,90,4.5290747,3168,3563,685,35740,38971,34022,38053,1506,163153,3068,124856,775,637,2827,2731,819,38297,1176,1892,44522,80334,22,1.052326,84106,33365,29487,5889,6326,3519,971,587,999
36,2020-07-21 07:36,265922,262275,3647,239973,30,22535,30,34653,7.673852,618,45,4.9171977,12,4.500562,7717,89386,153.12363,3,43,54789,100,4.8535657,2846,2648,338,53988,41778,53144,39677,923,258544,2625,227423,560,624,2191,2225,961,31121,609,2016,120497,106926,20,0.85796213,153056,40387,37518,21188,4236,2034,930,393,572
37,2020-07-21 07:37,142355,140741,1614,123535,6,17358,31,24037,5.922328,683,24,4.9939394,13,4.45237,4664,70305,134.52165,3,36,38962,140,3.6536882,1690,1152,170,26910,38500,25571,38183,377,138701,1523,108040,387,361,1463,943,435,30661,300,1223,38548,69492,20,1.0474237,69870,26700,25901,11375,2130,1877,916,307,433
38,2020-07-21 07:38,175318,170815,4503,151812,0,19565,30,9715,18.046114,624,24,5.567228,13,4.6217194,1807,95373,438.3359,1,17,32743,128,5.354366,2736,3206,1091,44696,44905,43516,43546,648,167474,2679,116409,590,950,2304,2051,1254,51065,1511,1168,23457,92952,20,1.2068983,75830,37537,33254,6415,8778,4241,1393,569,1040
39,2020-07-21 07:39,247094,242274,4820,220331,4,22862,31,14310,17.267225,583,24,5.119947,15,4.4511256,2987,108516,362.61902,2,67,39649,96,6.232036,3366,3296,666,56010,52498,54107,50808,1264,237650,3275,188066,1278,1291,1676,2557,1518,49584,1461,1814,69475,118591,20,0.997159,121056,51174,47070,6812,7045,3345,1284,487,1313
40,2020-07-21 07:40,185527,182480,3047,161689,22,21763,31,12712,14.594635,783,24,5.521701,13,4.7298336,2975,113811,291.8353,1,52,33096,154,5.605723,2477,2448,878,50617,43820,48790,42224,1158,178960,2410,123902,471,397,1735,1431,484,55058,1147,1263,23437,100465,20,1.169032,79666,43128,38525,5100,7504,2771,1541,525,1150
41,2020-07-21 07:41,171281,168307,2974,151272,4,17526,30,14160,12.096116,530,26,4.9747424,14,4.417006,4118,72306,181.02647,2,59,34547,106,4.9579124,2474,2249,544,32941,35574,31292,34417,717,165216,2410,128915,462,529,2619,1645,625,36301,548,1862,53175,75740,22,0.8877984,90504,33580,31467,5614,1872,1797,1049,309,518
42,2020-07-21 07:42,290054,288187,1867,258616,20,29757,30,29725,9.757915,759,45,4.922693,14,4.47194,6953,100712,185.4667,1,42,45661,100,6.3523355,1665,1314,232,51364,56301,49842,55162,753,285794,1615,244304,364,376,1744,1037,528,41490,367,1248,125420,118884,22,0.87589896,167621,46907,40843,20846,4413,3102,1353,458,655
43,2020-07-21 07:43,140940,137623,3317,120981,0,17553,32,8743,16.120325,624,24,5.639842,14,4.777908,1487,85202,445.3329,2,58,31408,166,4.487392,2622,2373,747,37285,34541,36865,32473,2104,132983,2496,90665,323,731,2342,1520,858,42318,978,1518,13977,76688,20,1.1706755,57409,32636,30171,4388,5336,1999,1221,486,964
44,2020-07-21 07:44,189364,186849,2515,169040,50,18211,28,13292,14.246464,514,24,4.90723,12,4.368683,3574,77029,228.8436,1,54,32140,106,5.891848,2223,2083,309,38784,43189,36814,42552,712,183994,2125,153371,332,294,2060,1762,352,30623,621,1504,62463,90908,20,0.94791514,93842,40256,39386,5393,1583,2475,1126,366,638
45,2020-07-21 07:45,116915,112072,4843,103737,35,9901,30,10173,11.492677,628,24,5.5613804,12,4.591932,2008,44872,260.56177,1,26,36913,116,3.1673124,3198,3584,985,29167,25179,28142,24264,1707,107198,3154,82853,1176,1051,2099,2539,1228,24345,1687,1467,25897,56956,20,1.184801,51608,22245,19857,4822,6214,2531,722,420,1141
46,2020-07-21 07:46,150369,148380,1989,138546,49,10083,29,16042,9.373457,515,24,4.782949,12,4.245781,4147,73991,152.25417,1,32,36252,108,4.1478815,1595,1494,307,26073,23847,24720,22657,1144,145693,1542,126628,386,370,1364,1116,443,19065,336,1206,68587,58041,20,0.76869565,88417,27009,22107,4285,1908,1514,622,267,437
47,2020-07-21 07:47,299159,291097,8062,271996,34,21978,31,40543,7.3788075,572,24,5.081557,10,4.3712955,7942,111958,162.40417,2,846,64604,88,4.6306577,5782,3966,877,49208,55048,48599,53255,1305,284059,5697,252942,2393,3143,4366,3008,4047,31117,2995,2702,139368,113574,20,1.0361146,173709,29552,27674,30710,19977,3514,1182,1165,1570
48,2020-07-21 07:48,129589,125406,4183,110872,4,15129,31,11621,11.151278,735,24,5.189074,10,4.533196,3016,56139,189.2742,2,33,35095,100,3.6925204,1673,2885,844,28835,29555,27483,29027,750,123060,1636,96087,385,701,1755,1974,1221,26973,291,1345,33318,62769,20,1.0652448,60864,24496,25898,4562,4034,2081,1062,392,567
49,2020-07-21 07:49,211942,207260,4682,186982,4,20592,29,12674,16.722582,1453,24,4.9404807,12,4.35261,3473,83111,260.14252,3,26,38032,163,5.572728,3437,3347,699,41999,46716,40355,45220,1176,202658,3386,165185,1059,731,2797,2639,1324,37473,1338,2048,68027,97158,20,0.93049985,107462,41346,40227,6988,4803,2189,1109,398,598
50,2020-07-21 07:50,208858,203012,5846,185450,10,18399,31,13654,15.29647,1159,25,5.0266633,12,4.3991437,3202,79010,280.2542,1,20,39186,128,5.3299136,3927,4666,1076,40702,38167,39037,37383,1108,198011,3885,157127,823,898,1929,3567,1146,40884,1164,2721,70302,86825,23,0.9187726,112603,37826,31057,7070,6908,2847,1136,448,856
